#{"t_start": 1703847255.033587, "env_id": "ContinuousCartPole-v0"}
r,l,t
216.0,216,364.33013
266.0,266,365.972929
201.0,201,367.193883
221.0,221,368.547129
232.0,232,370.05325
213.0,213,371.369728
255.0,255,372.913757
239.0,239,374.381014
246.0,246,375.877235
221.0,221,377.356912
218.0,218,379.271389
241.0,241,380.891819
243.0,243,382.427045
256.0,256,384.128629
223.0,223,385.574884
245.0,245,387.161055
206.0,206,388.539442
256.0,256,390.143177
204.0,204,391.574717
246.0,246,393.345455
232.0,232,395.137417
366.0,366,397.708183
212.0,212,399.138978
229.0,229,400.597703
254.0,254,402.310991
250.0,250,403.990963
273.0,273,405.653789
251.0,251,407.217838
307.0,307,409.058951
237.0,237,410.514339
313.0,313,412.417036
281.0,281,414.090787
341.0,341,416.308744
500.0,500,419.302464
238.0,238,420.716661
500.0,500,423.748072
318.0,318,425.639626
331.0,331,427.613309
500.0,500,430.741079
324.0,324,432.739288
500.0,500,435.800661
500.0,500,438.877024
500.0,500,441.950988
500.0,500,444.953015
500.0,500,448.194045
500.0,500,451.365287
500.0,500,454.466545
500.0,500,457.513101
500.0,500,460.635451
500.0,500,463.664971
500.0,500,466.691506
500.0,500,469.738417
500.0,500,472.717176
500.0,500,475.694537
500.0,500,478.69338
473.0,473,481.54252
500.0,500,484.517905
500.0,500,487.482283
500.0,500,490.476222
500.0,500,493.502082
482.0,482,496.477817
325.0,325,498.512123
500.0,500,501.631334
480.0,480,504.594474
500.0,500,507.759107
500.0,500,510.90762
500.0,500,514.02776
500.0,500,517.123905
500.0,500,520.253496
500.0,500,523.23232
500.0,500,526.207842
500.0,500,529.191336
500.0,500,532.216048
455.0,455,534.967054
439.0,439,537.629582
500.0,500,540.904535
500.0,500,544.302113
401.0,401,546.93842
500.0,500,550.127676
500.0,500,553.300504
500.0,500,556.379277
421.0,421,558.978232
500.0,500,562.075767
500.0,500,565.127383
500.0,500,568.100642
447.0,447,571.008893
500.0,500,574.186328
500.0,500,577.246855
408.0,408,579.709834
446.0,446,582.394609
500.0,500,585.454701
291.0,291,587.194707
426.0,426,589.772495
350.0,350,591.865614
500.0,500,595.059869
471.0,471,597.935031
500.0,500,601.027707
500.0,500,604.167569
500.0,500,607.173989
500.0,500,610.193725
500.0,500,613.181125
500.0,500,616.166685
500.0,500,619.157124
500.0,500,622.138517
500.0,500,625.109658
500.0,500,628.097484
500.0,500,631.052339
500.0,500,634.143163
500.0,500,637.179257
500.0,500,640.375897
322.0,322,642.367811
500.0,500,645.422962
500.0,500,648.391529
500.0,500,651.359507
500.0,500,654.351133
500.0,500,657.344784
500.0,500,660.372228
500.0,500,663.457952
500.0,500,666.773519
500.0,500,669.752401
500.0,500,672.766872
454.0,454,675.506244
500.0,500,678.624329
500.0,500,681.751032
500.0,500,684.758032
500.0,500,687.769432
256.0,256,689.334316
343.0,343,691.395476
500.0,500,694.501784
500.0,500,697.74056
500.0,500,700.865869
401.0,401,703.337802
347.0,347,705.506384
500.0,500,708.521626
500.0,500,711.501664
500.0,500,714.79202
500.0,500,717.986492
500.0,500,721.014186
500.0,500,724.113492
500.0,500,727.373228
500.0,500,730.465235
500.0,500,733.638416
500.0,500,736.758562
500.0,500,739.861543
500.0,500,742.969592
431.0,431,745.495976
500.0,500,748.57985
